sintomas,especialidad
Me da bruxismo desde hace 3 días.,Odontología
Tengo ganas de quitarme la vida con no puedo pegar el ojo en toda la noche.,Psiquiatría
Tengo siento hormigueo en medio cuerpo desde hace 3 días.,Neurología
Indica tener adenopatías generalizadas constante.,Infectología
Tengo ganas de quitarme la vida con me siento muy nervioso y con miedo.,Psiquiatría
Fenómeno de raynaud con dolor poliarticular.,Reumatología
"Doctor, tengo colitis ulcerosa intermitente.",Gastroenterología
Se queja de me sale sangre de la nariz que no pasa.,Otorrinolaringología
Ayúdeme con irritabilidad y llanto constante de inicio súbito.,Pediatría
Crisis convulsiva tónico-clónica y además cefalea tensional holocraneal.,Neurología
Hay presencia de diplopía hace una semana.,Oftalmología
"Se quemó con agua hirviendo, también refiere se rompió la cabeza en la caída.",Emergencias
Ayúdeme con pérdida de peso caquectizante que no pasa.,Oncología
Se queja de amanezco tieso intermitente.,Reumatología
Se queja de alucinaciones auditivas desde hace 3 días.,Psiquiatría
"Doctor, tengo reacción a medicamentos hace una semana.",Alergología
Se queja de intoxicación exógena que no pasa.,Emergencias
Paciente refiere que tengo sangre en las heces que no pasa.,Oncología
Siento que sangrado uterino anormal hace una semana.,Ginecología
Indica tener fractura expuesta desde esta mañana.,Traumatología
Presento prurito vulvar desde hace 3 días.,Ginecología
Ayúdeme con mastalgia cíclica desde esta mañana.,Ginecología
Indica tener edema periorbitario hace una semana.,Nefrología
Se queja de tos productiva con esputo de inicio súbito.,Neumología
Siento que se tomó un veneno que no pasa.,Emergencias
Presento la presión no me baja con nada constante.,Nefrología
Ayúdeme con la luz me molesta muchísimo de inicio súbito.,Oftalmología
"Sangrado uterino anormal, sumado a mastalgia cíclica.",Ginecología
"Tengo las piernas hinchadas como tamal, acompañado de me dio un soponcio y me caí.",Cardiología
Presento casi no estoy orinando nada desde esta mañana.,Nefrología
Me ahogo cuando estoy durmiendo y siente me punza la espalda al respirar.,Neumología
Me vienen unos cólicos que me tumban con tengo una picazón allá abajo.,Ginecología
Me da cólico renoureteral intermitente.,Urología
Manifiesta edema periorbitario que no pasa.,Nefrología
"Me enronché después de tomar la pastilla, también refiere me pica la nariz y los ojos.",Alergología
"Doctor, tengo micosis cutánea desde hace 3 días.",Dermatología
Paciente refiere que aumento de peso injustificado intermitente.,Endocrinología
Me baja la regla muy fuerte y a deshora y siente me duelen los senos antes de la menstruación.,Ginecología
Siento que crisis de ansiedad generalizada desde esta mañana.,Psiquiatría
"Tengo tos de perro con flema, sumado a estoy tosiendo sangre.",Neumología
Desde ayer tengo algia lumbar mecánica desde hace 3 días.,Traumatología
Paciente refiere que disfunción eréctil constante.,Urología
Me da tengo tos de perro con flema de inicio súbito.,Neumología
Edema periorbitario y siente hipertensión resistente.,Nefrología
Tengo me punza la espalda al respirar constante.,Neumología
Me da estoy con calentura y cuerpo cortado que no pasa.,Infectología
Siento que estoy orinando sangre desde hace 3 días.,Urología
Acude por presentar nevus displásico que no pasa.,Dermatología
"Aumento de peso injustificado, acompañado de temblor distal fino.",Endocrinología
Ayúdeme con se cortó feo y sale mucha sangre que no pasa.,Emergencias
Siento que edema periorbitario desde esta mañana.,Nefrología
Siento que alopecia areata que no pasa.,Dermatología
"Se tomó un veneno, también refiere se cortó feo y sale mucha sangre.",Emergencias
Siento que rinorrea hialina hace una semana.,Medicina General
Desde ayer tengo se quemó con agua hirviendo de inicio súbito.,Emergencias
Paso con frío todo el tiempo y además me tiemblan las manos.,Endocrinología
Ayúdeme con quemadura de segundo grado desde hace 3 días.,Emergencias
Indica tener dismenorrea incapacitante hace una semana.,Ginecología
Tengo una fiebre que no se me va con estoy con calentura y cuerpo cortado.,Infectología
Me da me tiemblan las manos desde esta mañana.,Endocrinología
Tengo el colon inflamado y siente estoy vomitando sangre.,Gastroenterología
Tengo pirexia no cuantificada desde esta mañana.,Pediatría
Masa palpable no dolorosa y además hemorragia digestiva oculta.,Oncología
Paciente refiere que oliguria que no pasa.,Nefrología
Ayúdeme con irritabilidad y llanto constante intermitente.,Pediatría
Indica tener palpitaciones taquicárdicas desde esta mañana.,Cardiología
Siento que irritabilidad y llanto constante de inicio súbito.,Pediatría
Se rompió la cabeza en la caída y siente se tomó un veneno.,Emergencias
Estoy aventado y siente se me regresa la comida agria.,Gastroenterología
Se queja de astenia y adinamia desde hace 3 días.,Medicina General
Presento hemoptisis intermitente.,Neumología
Presento quemadura de segundo grado que no pasa.,Emergencias
Desde ayer tengo disfunción eréctil hace una semana.,Urología
Acude por presentar bruxismo desde hace 3 días.,Odontología
Acude por presentar tengo bolas en el cuello y axilas intermitente.,Infectología
Siento que la orina sale con mucha espuma hace una semana.,Nefrología
Se queja de hematemesis de inicio súbito.,Gastroenterología
"Doctor, tengo parestesias en hemicuerpo hace una semana.",Neurología
Hay presencia de me tiemblan las manos desde hace 3 días.,Endocrinología
Indica tener tengo morado y soplado después del golpe desde esta mañana.,Traumatología
Acude por presentar temblor distal fino constante.,Endocrinología
Me da otalgia derecha desde esta mañana.,Otorrinolaringología
Se queja de me duele todo el cuerpo de inicio súbito.,Medicina General
Manifiesta me duelen todas las uniones de inicio súbito.,Reumatología
Siento que no puedo ni tragar del dolor de garganta constante.,Otorrinolaringología
Acude por presentar tengo sangre en las heces hace una semana.,Oncología
Paciente refiere que me sale sangre de la nariz desde hace 3 días.,Otorrinolaringología
Paciente refiere que todo me da vueltas y me tumba intermitente.,Neurología
Presento síndrome febril agudo que no pasa.,Infectología
Ayúdeme con traumatismo craneoencefálico desde hace 3 días.,Emergencias
Se queja de alucinaciones auditivas constante.,Psiquiatría
Siento que dolor precordial opresivo desde hace 3 días.,Cardiología
Tengo problemas de potencia sexual con me arde para orinar y voy a cada rato.,Urología
Presenta disfunción eréctil y dice que me arde para orinar y voy a cada rato.,Urología
Acude por presentar me dio un soponcio y me caí desde esta mañana.,Cardiología
Ayúdeme con ideación suicida intermitente.,Psiquiatría
Me da quemadura de segundo grado de inicio súbito.,Emergencias
Indica tener tengo la cara llena de granos feos desde hace 3 días.,Dermatología
Siento que colitis ulcerosa intermitente.,Gastroenterología
Tengo me duelen las coyunturas al despertar intermitente.,Reumatología
"Doctor, tengo me duele full el oído derecho intermitente.",Otorrinolaringología
Acude por presentar todo me da vueltas y me tumba que no pasa.,Neurología
Indica tener disnea paroxística nocturna de inicio súbito.,Neumología
Paciente refiere que me siento muy nervioso y con miedo intermitente.,Psiquiatría
Me da disfunción eréctil de inicio súbito.,Urología
Ayúdeme con tengo tos de perro con flema desde esta mañana.,Neumología
Siento que tengo hongos en la piel constante.,Dermatología
"No puedo mover la rodilla ni un poquito, también refiere tengo el cuello tieso por el frenazo.",Traumatología
"La presión no me baja con nada, acompañado de la orina sale con mucha espuma.",Nefrología
"Doctor, tengo pérdida de peso caquectizante constante.",Oncología
Siento que me duelen los senos antes de la menstruación de inicio súbito.,Ginecología
Manifiesta edema en miembros inferiores de inicio súbito.,Cardiología
Se queja de sangrado uterino anormal constante.,Ginecología
Presento vértigo posicional desde hace 3 días.,Otorrinolaringología
"Absceso periodontal, acompañado de gingivorragia.",Odontología
Paciente refiere que sudoración nocturna intermitente.,Infectología
Me da el guagua está hirviendo en fiebre de inicio súbito.,Pediatría
Se queja de estoy tosiendo sangre constante.,Neumología
Siento que amanecí con los ojos hinchados desde hace 3 días.,Nefrología
"Doctor, tengo me siento decaído y sin fuerzas desde esta mañana.",Medicina General
Me da dermatitis atópica desde hace 3 días.,Dermatología
Acude por presentar me siento muy nervioso y con miedo desde esta mañana.,Psiquiatría
"Otalgia derecha, también refiere hipoacusia súbita.",Otorrinolaringología
Ayúdeme con me siento decaído y sin fuerzas desde hace 3 días.,Medicina General
Acude por presentar me duele la espalda baja a los lados desde esta mañana.,Nefrología
"Doctor, tengo epistaxis anterior constante.",Otorrinolaringología
Me da gingivorragia de inicio súbito.,Odontología
Desde ayer tengo me vienen unos cólicos que me tumban hace una semana.,Ginecología
Se queja de tos productiva con esputo intermitente.,Neumología
Paciente refiere que vértigo periférico hace una semana.,Neurología
"Herida cortopunzante profusa, también refiere anafilaxia.",Emergencias
Paciente refiere que vértigo posicional desde hace 3 días.,Otorrinolaringología
Me da hemorragia digestiva oculta hace una semana.,Oncología
Se queja de me duele full el oído derecho intermitente.,Otorrinolaringología
Siento que traumatismo craneoencefálico desde esta mañana.,Emergencias
Se queja de tengo moquera clara desde hace 3 días.,Medicina General
Presento tengo un dolor en el riñón que me dobla que no pasa.,Urología
Paciente refiere que me salió alergia por tocar algo desde hace 3 días.,Alergología
Prurito ocular y nasal y siente reacción a medicamentos.,Alergología
Presenta dispepsia funcional y dice que estoy aventado.,Gastroenterología
Indica tener crisis de ansiedad generalizada intermitente.,Psiquiatría
Algia lumbar mecánica y siente edema y equimosis post-traumática.,Traumatología
Se queja de bruxismo que no pasa.,Odontología
Se queja de epistaxis anterior desde hace 3 días.,Otorrinolaringología
Presento estoy viendo doble desde esta mañana.,Oftalmología
Indica tener síncope vasovagal hace una semana.,Cardiología
Vértigo posicional y además epistaxis anterior.,Otorrinolaringología
Hemoptisis y además sibilancias espiratorias.,Neumología
Tengo hematuria macroscópica intermitente.,Urología
Manifiesta vértigo posicional que no pasa.,Otorrinolaringología
Paciente refiere que me arde para orinar y voy a cada rato desde hace 3 días.,Urología
Veo mosquitas volando y siente estoy viendo doble.,Oftalmología
Paciente refiere que ictericia marcada de inicio súbito.,Gastroenterología
Tengo amanecí con los ojos hinchados desde esta mañana.,Nefrología
Hay presencia de me enronché después de tomar la pastilla hace una semana.,Alergología
Casi no estoy orinando nada y además la presión no me baja con nada.,Nefrología
"Me siento muy nervioso y con miedo, sumado a no tengo ganas de hacer nada, solo llorar.",Psiquiatría
Indica tener síndrome febril agudo hace una semana.,Infectología
Presento me salió un lunar raro hace una semana.,Dermatología
Indica tener insomnio de conciliación desde hace 3 días.,Psiquiatría
Presenta limitación funcional articular y dice que tengo morado y soplado después del golpe.,Traumatología
Tengo cefalea tensional holocraneal constante.,Neurología
Paciente refiere que tengo ganas de quitarme la vida desde hace 3 días.,Psiquiatría
"Doctor, tengo se me salió el hueso de inicio súbito.",Traumatología
Paciente refiere que me duele la cintura bajito constante.,Traumatología
Desde ayer tengo hiperemia conjuntival intermitente.,Oftalmología
Siento que me duelen los senos antes de la menstruación constante.,Ginecología
Ayúdeme con disuria y polaquiuria desde esta mañana.,Urología
Presenta aumento de peso injustificado y dice que tengo mucha sed y orino bastante.,Endocrinología
Presenta otalgia derecha y dice que me duele full el oído derecho.,Otorrinolaringología
"Me enronché después de tomar la pastilla, sumado a paso estornudando todo el día.",Alergología
Presento tengo ganas de quitarme la vida que no pasa.,Psiquiatría
Indica tener me chilla el pecho al respirar desde hace 3 días.,Neumología
Se queja de tengo el cuello tieso por el frenazo que no pasa.,Traumatología
Se queja de rinitis alérgica estacional desde hace 3 días.,Alergología
Paciente refiere que vértigo posicional intermitente.,Otorrinolaringología
Presenta erupción exantemática y dice que el nene no para de llorar.,Pediatría
"Tengo sangre en las heces, también refiere me siento una bola dura que no duele.",Oncología
Me duele mucho un testículo y además tengo problemas de potencia sexual.,Urología
Paciente refiere que bruxismo hace una semana.,Odontología
"Doctor, tengo odinofagia intensa intermitente.",Otorrinolaringología
"Doctor, tengo me duele la espalda baja a los lados desde esta mañana.",Nefrología
Desde ayer tengo siento hormigueo en medio cuerpo que no pasa.,Neurología
Hay presencia de me arde la boca del estómago desde hace 3 días.,Gastroenterología
"Doctor, tengo micosis cutánea desde esta mañana.",Dermatología
"Dolor precordial opresivo, acompañado de síncope vasovagal.",Cardiología
"Odinofagia intensa, también refiere epistaxis anterior.",Otorrinolaringología
Paciente refiere que micosis cutánea constante.,Dermatología
Presento se rompió la cabeza en la caída de inicio súbito.,Emergencias
Desde ayer tengo hemorragia digestiva oculta constante.,Oncología
"Disfunción eréctil, sumado a disuria y polaquiuria.",Urología
Desde ayer tengo bruxismo hace una semana.,Odontología
Diaforesis excesiva y siente temblor distal fino.,Endocrinología
Manifiesta deformidad articular hace una semana.,Reumatología
"Me estoy secando de lo flaco, acompañado de tengo sangre en las heces.",Oncología
Acude por presentar me salieron ampollas dolorosas de inicio súbito.,Infectología
Ictericia marcada y además colitis ulcerosa.,Gastroenterología
Acude por presentar nevus displásico de inicio súbito.,Dermatología
Desde ayer tengo me duele toda la cabeza como si tuviera una vincha desde hace 3 días.,Neurología
Presenta artralgias matutinas y dice que amanezco tieso.,Reumatología
Presento disfagia progresiva desde hace 3 días.,Oncología
Me estoy secando de lo flaco y siente ya no hago del baño como antes.,Oncología
Presento dolor poliarticular hace una semana.,Reumatología
"Cervicalgia post-latigazo, sumado a fractura expuesta.",Traumatología
Acude por presentar sibilancias espiratorias hace una semana.,Neumología
Se queja de cefalea tensional holocraneal de inicio súbito.,Neurología
Me da me hinca el corazón de inicio súbito.,Cardiología
Acude por presentar me duele full el oído derecho constante.,Otorrinolaringología
Se queja de el guagua está hirviendo en fiebre desde esta mañana.,Pediatría
Paciente refiere que rigidez articular desde esta mañana.,Reumatología
Me da dolor testicular agudo desde hace 3 días.,Urología
Tengo estoy amarillo como patito hace una semana.,Gastroenterología
Hay presencia de pérdida de peso caquectizante hace una semana.,Oncología
Me da anafilaxia de inicio súbito.,Emergencias
Hematemesis y además dispepsia funcional.,Gastroenterología
Oliguria con proteinuria espumosa.,Nefrología
Tengo tengo morado y soplado después del golpe intermitente.,Traumatología
Presento le salieron granitos en todo el cuerpo intermitente.,Pediatría
Se me hinchó la boca y los ojos y siente paso estornudando todo el día.,Alergología
Tengo moquera clara y siente me duele la barriga un poco.,Medicina General
Siento que hematuria macroscópica constante.,Urología
Se queja de disnea de esfuerzo desde hace 3 días.,Cardiología
Presento intolerancia al frío intermitente.,Endocrinología
Indica tener me duele la espalda baja a los lados constante.,Nefrología
Siento que palpitaciones taquicárdicas desde esta mañana.,Cardiología
Ayúdeme con estoy aventado hace una semana.,Gastroenterología
Presento ya no hago del baño como antes que no pasa.,Oncología
Siento que epigastralgia urente hace una semana.,Gastroenterología
Tengo me duelen los senos antes de la menstruación constante.,Ginecología
Me tiemblan las manos y además sudo demasiado sin hacer nada.,Endocrinología
Cefalea tensional holocraneal y además parestesias en hemicuerpo.,Neurología
Desde ayer tengo me mareo si muevo la cabeza hace una semana.,Otorrinolaringología
Estoy orinando sangre y siente me duele mucho un testículo.,Urología
Presento síncope vasovagal desde hace 3 días.,Cardiología
"Estoy amarillo como patito, también refiere estoy vomitando sangre.",Gastroenterología
Manifiesta ideación suicida constante.,Psiquiatría
Tengo todo lo que come lo vomita de inicio súbito.,Pediatría
"Doctor, tengo hipoacusia súbita desde esta mañana.",Otorrinolaringología
Presento sangrado uterino anormal constante.,Ginecología
Tengo un nacido en la encía y siente me sangran las encías al cepillarme.,Odontología
Acude por presentar se me está cayendo el pelo por parches desde hace 3 días.,Dermatología
"Tengo el ojo rojo como tomate, sumado a veo mosquitas volando.",Oftalmología
Tengo me salió un lunar raro intermitente.,Dermatología
Me da la presión no me baja con nada que no pasa.,Nefrología
Manifiesta dolor abdominal inespecífico que no pasa.,Medicina General
Hay presencia de polidipsia y poliuria desde esta mañana.,Endocrinología
Presenta edema periorbitario y dice que la presión no me baja con nada.,Nefrología
Manifiesta me salió un lunar raro desde hace 3 días.,Dermatología
Siento que odontalgia severa de inicio súbito.,Odontología
Desde ayer tengo dolor en fosa renal desde esta mañana.,Nefrología
Hay presencia de crisis de ansiedad generalizada desde esta mañana.,Psiquiatría
Paciente refiere que ánimo depresivo persistente desde hace 3 días.,Psiquiatría
Presento estoy aventado constante.,Gastroenterología
Presenta rinitis alérgica estacional y dice que paso estornudando todo el día.,Alergología
Tengo sudo demasiado sin hacer nada de inicio súbito.,Endocrinología
Paciente refiere que me duelen las coyunturas al despertar desde hace 3 días.,Reumatología
Indica tener ánimo depresivo persistente desde hace 3 días.,Psiquiatría
Se queja de sudoración nocturna hace una semana.,Infectología
"Siento como una pata de elefante en el pecho, sumado a me dio un soponcio y me caí.",Cardiología
Se queja de me quedé sordo de golpe desde esta mañana.,Otorrinolaringología
Desde ayer tengo rechinar los dientes al dormir hace una semana.,Odontología
"Tengo sangre en las heces, acompañado de me siento una bola dura que no duele.",Oncología
Acude por presentar dermatitis de contacto constante.,Alergología
Manifiesta estoy engordando sin comer tanto que no pasa.,Endocrinología
"Se me están enchuecando los dedos, sumado a se me ponen los dedos blancos con el frío.",Reumatología
Manifiesta paso con frío todo el tiempo desde esta mañana.,Endocrinología
Presento el nene no para de llorar hace una semana.,Pediatría
"Tengo la presión por las nubes, también refiere se me va el aire al subir gradas.",Cardiología
Tengo me sangran las encías al cepillarme desde hace 3 días.,Odontología
Tengo disfagia progresiva que no pasa.,Oncología
Hay presencia de colitis ulcerosa constante.,Gastroenterología
Desde ayer tengo cefalea tensional holocraneal constante.,Neurología
Le dio el ataque y se sacudió y siente veo lucecitas antes de que me duela la cabeza.,Neurología
"Sudoración nocturna, sumado a adenopatías generalizadas.",Infectología
Me da tengo la presión por las nubes constante.,Cardiología
Paciente refiere que hemorragia digestiva oculta desde esta mañana.,Oncología
Manifiesta fotofobia constante.,Oftalmología
"Vértigo posicional, también refiere otalgia derecha.",Otorrinolaringología
Me da insomnio de conciliación constante.,Psiquiatría
Presenta cólico renoureteral y dice que me duele mucho un testículo.,Urología
"Diaforesis excesiva, sumado a aumento de peso injustificado.",Endocrinología
"Me salió alergia por tocar algo, también refiere me pica la nariz y los ojos.",Alergología
Cefalea leve y siente dolor musculoesquelético difuso.,Medicina General
Siento que crisis de ansiedad generalizada intermitente.,Psiquiatría
Tengo hongos en la piel y siente tengo sarpullido que pica mucho.,Dermatología
Indica tener se me está cayendo el pelo por parches de inicio súbito.,Dermatología
Me da no puedo mover la rodilla ni un poquito desde esta mañana.,Traumatología
Siento hormigueo en medio cuerpo y además todo me da vueltas y me tumba.,Neurología
Presenta hiperemia conjuntival y dice que veo mosquitas volando.,Oftalmología
Hipertensión resistente con edema periorbitario.,Nefrología
Me da casi no estoy orinando nada desde esta mañana.,Nefrología
Presento me chilla el pecho al respirar hace una semana.,Neumología
Tengo angina de pecho estable hace una semana.,Cardiología
Tengo tengo moquera clara desde esta mañana.,Medicina General
Manifiesta me pica la nariz y los ojos constante.,Alergología
Presento hiperemia conjuntival desde hace 3 días.,Oftalmología
Indica tener la luz me molesta muchísimo de inicio súbito.,Oftalmología
Distensión abdominal y además epigastralgia urente.,Gastroenterología
"Polidipsia y poliuria, acompañado de aumento de peso injustificado.",Endocrinología
"Doctor, tengo escucho voces que nadie más oye constante.",Psiquiatría
Desde ayer tengo estoy tosiendo sangre desde hace 3 días.,Neumología
"Doctor, tengo distensión abdominal desde esta mañana.",Gastroenterología
Ayúdeme con rinitis alérgica estacional de inicio súbito.,Alergología
Ayúdeme con rinitis alérgica estacional que no pasa.,Alergología
Deformidad articular y siente dolor poliarticular.,Reumatología
Hay presencia de dismenorrea incapacitante hace una semana.,Ginecología
Tengo quemadura de segundo grado de inicio súbito.,Emergencias
Presento hipertensión arterial descontrolada desde hace 3 días.,Cardiología
Acude por presentar distensión abdominal de inicio súbito.,Gastroenterología
Diplopía con miodesopsias.,Oftalmología
Siento que paso estornudando todo el día que no pasa.,Alergología
Presenta rigidez articular y dice que se me están enchuecando los dedos.,Reumatología
Indica tener prurito ocular y nasal de inicio súbito.,Alergología
Indica tener estoy aventado intermitente.,Gastroenterología
Acude por presentar tengo mal aliento de inicio súbito.,Odontología
"Me salió un lunar raro, acompañado de tengo la cara llena de granos feos.",Dermatología
Siento que intolerancia al frío de inicio súbito.,Endocrinología
"Me arde la boca del estómago, sumado a me cae mal todo lo que como.",Gastroenterología
Nevus displásico y siente acné nódulo-quístico.,Dermatología
Indica tener amanecí con los ojos hinchados de inicio súbito.,Nefrología
Hay presencia de crisis convulsiva tónico-clónica intermitente.,Neurología
Siento que estoy aventado desde esta mañana.,Gastroenterología
Se queja de disnea de esfuerzo que no pasa.,Cardiología
La orina sale con mucha espuma y siente casi no estoy orinando nada.,Nefrología
"Tengo hongos en la piel, sumado a tengo la cara llena de granos feos.",Dermatología
Manifiesta me tiemblan las manos desde hace 3 días.,Endocrinología
Estoy engordando sin comer tanto con me tiemblan las manos.,Endocrinología
Acude por presentar artralgias matutinas de inicio súbito.,Reumatología
Se me hinchó la boca y los ojos con me salió alergia por tocar algo.,Alergología
Indica tener gingivorragia constante.,Odontología
"Me duele la muela horrible, sumado a me sangran las encías al cepillarme.",Odontología
"Doctor, tengo paso con frío todo el tiempo desde hace 3 días.",Endocrinología
Presenta astenia y adinamia y dice que me duele la barriga un poco.,Medicina General
Tengo micosis cutánea desde esta mañana.,Dermatología
Se queja de me duele mucho un testículo que no pasa.,Urología
"Doctor, tengo veo mosquitas volando desde esta mañana.",Oftalmología
Paciente refiere que tengo sarpullido que pica mucho que no pasa.,Dermatología
"Me duele todo el cuerpo, también refiere me siento decaído y sin fuerzas.",Medicina General
Tengo un dolor en el riñón que me dobla y además me arde para orinar y voy a cada rato.,Urología
Presento la luz me molesta muchísimo constante.,Oftalmología
Se queja de pirexia no cuantificada desde hace 3 días.,Pediatría
Paciente refiere que síndrome febril agudo desde hace 3 días.,Infectología
Indica tener cervicalgia post-latigazo de inicio súbito.,Traumatología
Indica tener prurito ocular y nasal hace una semana.,Alergología
Indica tener edema y equimosis post-traumática hace una semana.,Traumatología
Vértigo periférico con parestesias en hemicuerpo.,Neurología
Tengo nevus displásico hace una semana.,Dermatología
Tengo el colon inflamado con me arde la boca del estómago.,Gastroenterología
Me da se quemó con agua hirviendo desde hace 3 días.,Emergencias
"Ánimo depresivo persistente, acompañado de alucinaciones auditivas.",Psiquiatría
"Colitis ulcerosa, también refiere reflujo gastroesofágico.",Gastroenterología
Manifiesta fiebre de origen desconocido intermitente.,Infectología
"Tengo una picazón allá abajo, acompañado de tengo un descenso que huele mal.",Ginecología
Siento que fiebre de origen desconocido desde hace 3 días.,Infectología
Me da tengo un dolor en el riñón que me dobla desde esta mañana.,Urología
Presento rinitis alérgica estacional constante.,Alergología
Me da micosis cutánea hace una semana.,Dermatología
"Doctor, tengo me duele la cintura bajito intermitente.",Traumatología
"Irritabilidad y llanto constante, acompañado de tos ferina.",Pediatría
"Fenómeno de raynaud, acompañado de dolor poliarticular.",Reumatología
Hay presencia de adenopatías generalizadas desde esta mañana.,Infectología
Le dio el ataque y se sacudió y además veo lucecitas antes de que me duela la cabeza.,Neurología
Hay presencia de escucho voces que nadie más oye desde hace 3 días.,Psiquiatría
"Doctor, tengo se cortó feo y sale mucha sangre que no pasa.",Emergencias
Hay presencia de se me están enchuecando los dedos intermitente.,Reumatología
Me siento una bola dura que no duele y además tengo sangre en las heces.,Oncología
Tengo las piernas hinchadas como tamal y además siento como una pata de elefante en el pecho.,Cardiología
Desde ayer tengo se quemó con agua hirviendo constante.,Emergencias
Manifiesta se está hinchando todo y no respira desde esta mañana.,Emergencias
"Doctor, tengo rinitis alérgica estacional constante.",Alergología
Ayúdeme con ya no veo bien las letras de lejos desde esta mañana.,Oftalmología
Siento que micosis cutánea desde hace 3 días.,Dermatología
Acude por presentar prurito vulvar hace una semana.,Ginecología
